OBJECTID,SiteName,data_set,site,station,Buffer,Veg_Type,Origin_Year,Origin_Source,General_Source,PreBackfill_Source,Backfill_Required,Backfill_Method,PostBackfill_Source,Moisture_Reg,Moisture_Source,Pct_of_Larch,NSRNAME,NRNAME,Soil_Type_1,LUF_NAME,HUC_8,BASIN,CWCS_Class,CWCS_Extent,GWA_NAME,FEATURE_TY,YEAR,ORIG_FID,Veg_Moist_preBkfSrs,Combined,Combined2,Combined_ChgByCWCS,UplandGene,Fire_Year,UID,Shape_Length,Shape_Area
12,BG_15_11,BG,15,11,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,52723670,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,36611297,324.6081192,4608.267966
13,BG_15_12,BG,15,12,50,Black spruce,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,2,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41903420,Black spruce::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31356440,87.46859615,328.4765213
14,BG_15_12,BG,15,12,50,Black spruce,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,2,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,41904037,Black spruce::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31361521,317.123222,6271.691345
15,BG_15_12,BG,15,12,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41929911,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31613953,142.1510911,1252.109899
16,BG_15_13,BG,15,13,50,Black spruce,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,1,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41899908,Black spruce::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31328884,199.2192573,2077.953952
17,BG_15_13,BG,15,13,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959038,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31914803,139.9217695,973.3748961
18,BG_15_13,BG,15,13,50,Jack pine MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,52723968,Jack pine MixCD::m::AVIE,Mixedwood,Mixedwood,Mixedwood,Decid,0,36614191,311.0054649,4801.230046
19,BG_15_14,BG,15,14,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,41933146,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31641286,431.0745858,4919.3851
20,BG_15_14,BG,15,14,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,41933209,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31641777,117.924779,893.8654611
21,BG_15_14,BG,15,14,50,Black spruce,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,52723239,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,36608395,182.1070001,2039.168193
22,BG_15_15,BG,15,15,50,Black spruce,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,41884391,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31212027,99.26161902,474.1907168
23,BG_15_15,BG,15,15,50,Black spruce,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,41884438,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31212323,47.10317027,102.8168621
24,BG_15_15,BG,15,15,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Fen,ALP,Green Area,,0,41933169,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31641478,11.44018909,5.755999661
25,BG_15_15,BG,15,15,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,41933208,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31641771,114.3591207,624.103048
26,BG_15_15,BG,15,15,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,41933211,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31641786,64.66805823,248.9505912
27,BG_15_15,BG,15,15,50,Jack pine,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,52824811,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,36651851,334.2302199,6396.501791
28,BG_15_16,BG,15,16,50,Jack pine MixWet,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,42536910,Jack pine MixWet::m::AVIE,Pine,Pine,Pine,Decid,0,31837794,127.7023176,621.8448073
29,BG_15_16,BG,15,16,50,Jack pine MixWet,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,Swamp,ALP,Green Area,,0,42536915,Jack pine MixWet::m::AVIE,Pine,Pine,Pine,Decid,0,31837826,105.6656738,717.1356597
30,BG_15_16,BG,15,16,50,Tamarack MixCD,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,7,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,42543104,Tamarack MixCD::w::AVIE,TreedFen-Mixedwood,TreedFen-Mixedwood,TreedFen-Mixedwood,Decid,0,31902497,171.5916238,845.3853416
31,BG_15_16,BG,15,16,50,Tamarack MixCD,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,7,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,42543104,Tamarack MixCD::w::AVIE,TreedFen-Mixedwood,TreedFen-Mixedwood,TreedFen-Mixedwood,Decid,0,31902506,42.02205541,15.49557179
32,BG_15_16,BG,15,16,50,Tamarack MixCD,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,7,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,PRE-LOW-IMPACT-SEISMIC,,42883139,Tamarack MixCD::w::AVIE,TreedFen-Mixedwood,TreedFen-Mixedwood,TreedFen-Mixedwood,Decid,0,35539033,105.2279875,231.7519064
33,BG_15_16,BG,15,16,50,Black spruce,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,52472830,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,69699177,58.12197274,162.5981113
34,BG_15_16,BG,15,16,50,Jack pine MixWet,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,52472969,Jack pine MixWet::m::AVIE,Pine,Pine,Pine,Decid,0,69855493,339.8149672,5258.073295
35,BG_15_2,BG,15,2,50,Black spruce,1860,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Swamp,ALP,Green Area,,0,41882386,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31197403,167.9032852,1614.849582
36,BG_15_2,BG,15,2,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959027,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31914675,257.7109513,2273.251742
37,BG_15_2,BG,15,2,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959027,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31914684,150.1479972,736.6840484
38,BG_15_2,BG,15,2,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959028,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31914690,11.87013468,4.00097473
39,BG_15_2,BG,15,2,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Swamp,ALP,Green Area,,0,41959335,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31918099,57.61018781,57.61198644
40,BG_15_2,BG,15,2,50,Trembling aspen,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,PRE-LOW-IMPACT-SEISMIC,,52480054,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,36572145,167.7867814,458.2128092
41,BG_15_2,BG,15,2,50,Black spruce,1860,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,52723204,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,36608206,352.7301475,2708.392178
42,BG_15_21,BG,15,21,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41915360,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31459859,81.35950287,237.8614706
43,BG_15_21,BG,15,21,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,,0,41915489,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31461156,22.46938681,22.11964358
44,BG_15_21,BG,15,21,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,41915584,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31462050,66.38223249,222.6821313
45,BG_15_21,BG,15,21,50,Bog,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,FromOtherSourceLayer,CWCS,wet-derived,CWCS,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,,0,41917345,Bog::wet-derived::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31478778,68.82751228,62.57360527
46,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41929950,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31614233,393.9310351,2602.62145
47,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,,0,41930474,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31620446,123.9940309,859.0248515
48,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,41931011,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31624908,37.48288287,84.90893228
49,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,DomInBuf50m,AVIE,m,AVIE_Neighbor,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41933081,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31640424,50.23096293,95.10983072
50,BG_15_21,BG,15,21,50,Bog,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,FromOtherSourceLayer,CWCS,wet-derived,CWCS,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,WELL-GAS,1995,42311560,Bog::wet-derived::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,35681081,167.8214044,1581.307648
51,BG_15_21,BG,15,21,50,Fen,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,FromOtherSourceLayer,CWCS,wet-derived,CWCS,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,WELL-GAS,1995,42311887,Fen::wet-derived::AVIE,TreedFen-Larch,TreedFen-Larch,TreedFen-Larch,Decid,0,35682379,70.88322344,255.1679504
52,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,WELL-GAS,1995,42317645,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35712328,117.5582723,229.1780477
53,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,WELL-GAS,1995,42317645,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35712332,76.57803374,273.7297134
54,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,WELL-GAS,1995,42317910,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35713655,16.34468317,11.40906624
55,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,DomInBuf50m,AVIE,m,AVIE_Neighbor,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,WELL-GAS,1995,42318458,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35716073,88.23153124,274.8688951
56,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Others_DomIn50m,AVIE,AVIE,CIW,DomInBuf50m,AVIE,m,AVIE_Neighbor,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,WELL-GAS,1995,42318460,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,35716085,139.2696233,1023.256382
57,BG_15_21,BG,15,21,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,PIPELINES,,52478710,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,36568796,24.19973382,15.89843569
58,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,,0,41914224,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31450565,83.13012368,399.7541008
59,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,41914364,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31451645,121.2604319,872.763456
60,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Swamp,ALP,Green Area,,0,41914542,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31453082,91.99790391,551.7511757
61,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,,0,41915491,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31461185,62.69256309,204.2416743
62,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Swamp,ALP,Green Area,,0,41915686,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31463200,96.99129259,470.4141405
63,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,PIPELINES,,52478192,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,36567436,17.93220099,16.2137138
64,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Bog,ALP,Green Area,PIPELINES,,52478244,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,36567578,9.046613124,3.513645333
65,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,PIPELINES,,52478260,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,36567624,131.2731674,405.9030672
66,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,52723670,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,36611291,104.2584891,239.5211647
67,BG_15_22,BG,15,22,50,Black spruce MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,3,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,52723670,Black spruce MixCD::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,36611294,331.6756692,4688.382507
68,BG_15_23,BG,15,23,50,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41929958,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31614297,20.98443869,14.51811764
69,BG_15_23,BG,15,23,50,Jack pine MixCD,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41936729,Jack pine MixCD::m::AVIE,Mixedwood,Mixedwood,Mixedwood,Decid,0,31675366,143.0281107,1356.497074
70,BG_15_23,BG,15,23,50,Jack pine MixWet,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41941480,Jack pine MixWet::m::AVIE,Pine,Pine,Pine,Decid,0,31722674,228.3773419,2252.181832
71,BG_15_23,BG,15,23,50,Trembling aspen,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959473,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31919593,114.4601768,285.0113526
72,BG_15_23,BG,15,23,50,Trembling aspen,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,41959473,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31919602,240.5161287,3490.676329
73,BG_15_23,BG,15,23,50,Trembling aspen,1940,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,PIPELINES,,52480088,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,36572234,148.7480879,453.9006006
74,BG_15_24,BG,15,24,50,Black spruce,1920,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,41887634,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31236017,84.06133112,295.3451932
75,BG_15_24,BG,15,24,50,Black spruce,1920,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,41887635,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31236020,55.7191987,137.6213156
76,BG_15_24,BG,15,24,50,Black spruce,1920,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,12010201,BEAVER,,,Green Area,,0,41887635,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31236031,86.40485313,469.7476056
